id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,time
1,-0.670654,0.708496,0.151611,0.243902,4.35976,4.08537,1.45711E+12
2,-0.668701,0.762207,0.149902,1.89024,-0.304878,-0.213415,1.45711E+12
3,-0.665039,0.723877,0.161621,-0.884146,0.609756,-2.53049,1.45711E+12
4,-0.675537,0.719727,0.159668,-0.792683,0.670732,-2.04268,1.45711E+12
5,-0.676514,0.721436,0.171387,1.21951,-0.243902,-0.213415,1.45711E+12
6,-0.660889,0.718994,0.171875,-0.609756,0.914634,-1.70732,1.45711E+12
7,-0.679199,0.742432,0.1521,0.457317,0.579268,-1.52439,1.45711E+12
8,-0.675293,0.712402,0.168945,0.243902,-0.0304878,-1.85976,1.45711E+12
9,-0.678711,0.784424,0.127197,-1.12805,-1.89024,-7.86585,1.45711E+12
10,-0.707031,0.708984,0.202637,-33.689,-14.5427,-39.3902,1.45711E+12
11,-0.760742,0.517822,0.310547,-28.7805,-11.9817,-41.2195,1.45711E+12
12,-0.81665,0.422852,0.3479,-19.1768,-7.86585,-28.0183,1.45711E+12
13,-0.831299,0.35791,0.38501,-8.96342,-3.41463,-15.9756,1.45711E+12
14,-0.830078,0.359131,0.406982,-8.38415,-2.10366,-9.69512,1.45711E+12
15,-0.856445,0.371582,0.375244,2.2561,-1.85976,-0.304878,1.45711E+12
16,-0.823486,0.401367,0.41333,-5.03049,0.823171,-2.10366,1.45711E+12
17,-0.834473,0.417969,0.418945,-0.426829,0.0304878,0.823171,1.45711E+12
18,-0.834473,0.404785,0.410889,-0.945122,1.31098,-3.41463,1.45711E+12
19,-0.839355,0.368408,0.410645,-0.823171,0.70122,-2.56098,1.45711E+12
20,-0.824219,0.384277,0.414307,-0.213415,-0.0304878,0.304878,1.45711E+12
21,-0.818115,0.400879,0.39624,-2.22561,0.243902,-3.56707,1.45711E+12
22,-0.818848,0.369141,0.400879,-2.34756,-0.152439,-2.34756,1.45711E+12
23,-0.835693,0.338867,0.428711,6.18902,3.78049,10.4573,1.45711E+12
24,-0.800049,0.325928,0.414551,18.2622,11.4634,32.4085,1.45711E+12
25,-0.73999,0.453613,0.275146,20.3354,24.4207,54.5427,1.45711E+12
26,-0.660889,0.784424,0.177979,19.878,16.9512,44.5732,1.45711E+12
27,-0.610107,0.858887,0.103271,1.79878,4.17683,5.70122,1.45711E+12
28,-0.632568,0.750732,0.186035,-1.15854,2.19512,-3.53659,1.45711E+12
29,-0.648438,0.750488,0.164795,-0.97561,0.792683,-0.884146,1.45711E+12
30,-0.64917,0.729492,0.178223,-1.06707,2.19512,-0.823171,1.45711E+12
31,-0.633301,0.743652,0.174561,1.0061,3.96341,4.81707,1.45711E+12
32,-0.634766,0.780518,0.137939,1.76829,-0.731707,2.40854,1.45711E+12
33,-0.620361,0.762695,0.166016,-0.426829,1.76829,0.914634,1.45711E+12
34,-0.612305,0.758789,0.172119,-0.487805,0,-2.46951,1.45711E+12
35,-0.62793,0.764648,0.164062,1.70732,0.0914634,-1.55488,1.45711E+12
36,-0.626953,0.748047,0.179932,-1.06707,0.945122,-2.13415,1.45711E+12
37,-0.641602,0.733643,0.154297,-4.20732,2.71341,-2.62195,1.45711E+12
38,-0.63501,0.75708,0.168701,0.396341,0.548781,-1.40244,1.45711E+12
39,-0.64209,0.747314,0.170166,1.52439,-0.152439,-0.518293,1.45711E+12
40,-0.63916,0.747803,0.168457,0.548781,0.70122,0.426829,1.45711E+12
