id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,time
348,0.601074,0.76416,0.209961,0.518293,0.853659,-0.945122,1.45712E+12
349,0.60498,0.780518,0.207031,1.12805,1.09756,-0.97561,1.45712E+12
350,0.605957,0.766846,0.211182,0.640244,1.34146,-0.152439,1.45712E+12
351,0.608398,0.757568,0.210205,-0.945122,0.884146,-0.335366,1.45712E+12
352,0.598145,0.76709,0.212402,-0.27439,1.18902,-0.0304878,1.45712E+12
353,0.610352,0.750732,0.212158,0.121951,1.37195,0.335366,1.45712E+12
354,0.602295,0.749756,0.209473,0.27439,0.121951,-0.97561,1.45712E+12
355,0.599609,0.76001,0.234131,0.0914634,1.52439,0.762195,1.45712E+12
356,0.611816,0.76123,0.210205,1.43293,1.34146,-1.28049,1.45712E+12
357,0.608154,0.76001,0.208008,-1.31098,0.0304878,-0.213415,1.45712E+12
358,0.608154,0.781738,0.214111,3.32317,0.731707,0.243902,1.45712E+12
359,0.615723,0.736084,0.190918,3.5061,0.213415,0.579268,1.45712E+12
360,0.61084,0.765625,0.211426,6.95122,-0.396341,0.640244,1.45712E+12
361,0.617188,0.771729,0.168945,9.17683,-0.365854,1.82927,1.45712E+12
362,0.621582,0.796387,0.1521,6.92073,2.7439,11.9817,1.45712E+12
363,0.663086,0.797607,0.106689,-1.67683,11.7683,30.6098,1.45712E+12
364,0.709473,0.640137,0.193115,-8.78049,18.9939,44.5732,1.45712E+12
365,0.782471,0.512695,0.273193,-6.25,21.0366,40.7012,1.45712E+12
366,0.824707,0.401611,0.348389,-12.378,12.0732,23.5976,1.45712E+12
367,0.832031,0.410156,0.36084,-7.19512,3.78049,5.70122,1.45712E+12
368,0.832031,0.37915,0.359619,2.0122,2.7439,4.93902,1.45712E+12
369,0.843994,0.353027,0.367432,-5.4878,1.98171,5.51829,1.45712E+12
370,0.846924,0.35083,0.371826,1.7378,2.31707,1.34146,1.45712E+12
371,0.841064,0.386719,0.375244,-0.121951,1.25,-0.670732,1.45712E+12
372,0.845215,0.367188,0.365479,0.548781,1.0061,1.55488,1.45712E+12
373,0.84082,0.326416,0.386719,-3.04878,1.03659,-0.335366,1.45712E+12
374,0.850342,0.335449,0.369873,-6.15854,0.487805,0.792683,1.45712E+12
375,0.846924,0.333008,0.381592,0.0914634,0.487805,-1.18902,1.45712E+12
376,0.838867,0.366455,0.377686,-1.40244,1.15854,-1.06707,1.45712E+12
377,0.841064,0.347656,0.398193,-0.823171,0.762195,-1.70732,1.45712E+12
378,0.840332,0.327881,0.376709,2.10366,-0.121951,-2.86585,1.45712E+12
379,0.844727,0.377441,0.381348,-0.487805,-0.640244,-2.31707,1.45712E+12
380,0.847168,0.320557,0.371094,0.365854,-0.487805,-3.29268,1.45712E+12
381,0.837646,0.361816,0.379395,-0.0304878,-2.56098,-7.56098,1.45712E+12
382,0.830811,0.342285,0.37915,2.56098,-8.23171,-25.2439,1.45712E+12
383,0.800049,0.439453,0.330566,9.35976,-13.872,-39.2988,1.45712E+12
384,0.747314,0.655273,0.239746,11.9817,-16.5244,-42.0122,1.45712E+12
385,0.69751,0.763672,0.171143,10.122,-15.7012,-41.4329,1.45712E+12
386,0.61499,0.744873,0.168457,4.35976,-7.31707,-30.3659,1.45712E+12
387,0.59375,0.842529,0.133301,6.06707,-1.79878,-19.2988,1.45712E+12
388,0.570068,0.87915,0.143066,3.62805,-0.853659,-8.9939,1.45712E+12
389,0.554688,0.792725,0.165771,-4.60366,0.945122,0.365854,1.45712E+12
390,0.560303,0.816895,0.149658,2.28659,-0.914634,-1.64634,1.45712E+12
391,0.562256,0.814941,0.158203,-0.0609756,1.34146,-1.09756,1.45712E+12
392,0.565674,0.813721,0.154053,-0.0609756,1.37195,0.457317,1.45712E+12
393,0.56543,0.82373,0.165283,-1.18902,1.12805,-0.335366,1.45712E+12
394,0.570068,0.807617,0.170898,1.43293,1.70732,0.213415,1.45712E+12
395,0.564941,0.791504,0.180664,-1.55488,0.853659,-0.365854,1.45712E+12
396,0.567627,0.794434,0.178467,0.731707,1.18902,0.335366,1.45712E+12
397,0.576904,0.826904,0.160889,-1.34146,1.89024,-1.25,1.45712E+12
398,0.582764,0.804688,0.177734,-1.55488,1.61585,2.34756,1.45712E+12
399,0.580078,0.782471,0.182861,0.396341,0.335366,-0.518293,1.45712E+12
400,0.584717,0.788086,0.189453,1.0061,0.243902,0.426829,1.45712E+12
401,0.585693,0.78833,0.186279,1.0061,0.27439,-1.12805,1.45712E+12
402,0.594482,0.782227,0.188965,0.27439,0.609756,-0.426829,1.45712E+12
403,0.594727,0.7771,0.184814,-0.914634,0.640244,-1.43293,1.45712E+12
404,0.5896,0.772461,0.205322,-1.34146,0.792683,0.121951,1.45712E+12
405,0.588379,0.788818,0.183594,1.43293,0.914634,-0.0609756,1.45712E+12
406,0.585449,0.782227,0.181885,-1.52439,1.0061,-0.518293,1.45712E+12
407,0.586914,0.781494,0.193604,-0.731707,1.09756,-0.27439,1.45712E+12
408,0.591064,0.789307,0.194336,1.25,0.518293,-0.304878,1.45712E+12
409,0.596924,0.781738,0.197754,0.548781,0.945122,-1.06707,1.45712E+12
410,0.588379,0.77832,0.188965,0.640244,0.457317,-0.457317,1.45712E+12
411,0.604736,0.772461,0.189941,2.16463,1.25,-1.21951,1.45712E+12
412,0.590332,0.772949,0.178223,-1.76829,0.213415,-1.09756,1.45712E+12
413,0.591064,0.777832,0.192627,-1.67683,1.03659,0.0609756,1.45712E+12
414,0.591797,0.787354,0.178711,0.548781,1.37195,-0.609756,1.45712E+12
415,0.58667,0.776611,0.191406,-2.19512,0.243902,0.396341,1.45712E+12
416,0.59375,0.782227,0.189209,-0.0304878,1.21951,0.396341,1.45712E+12
417,0.597412,0.784912,0.189697,1.76829,1.03659,0.609756,1.45712E+12
418,0.595947,0.799072,0.185547,8.17073,-0.823171,4.20732,1.45712E+12
